"CType","list_type","pids"
"felogin_login",,344
"gridelements_pi1",,77
"list","bookmarkpages_bookmarks",704
"list","solr_pi_results","45,48,329,505,569"
"list","tmalerts_subscribe","704,910"
"list","typoscript2ce_pi1","1,507,704,842,895,958,959,960,961"
"list","userprofile_pi1",704
"login",,704
"menu_abstract",,77
"menu_categorized_content",,77
"menu_categorized_pages",,77
"menu_pages",,"77,153"
"menu_recently_updated",,77
"menu_related_pages",,77
"menu_section",,"77,345,704"
"menu_section_pages",,77
"menu_sitemap",,77
"menu_sitemap_pages",,77
"menu_subpages",,"24,77,101,347,410,411,418,444,445,497,507,937,954,1052,1053,1054,1100,1129,1130,1131,1132,1133,1134,1151,1155,1161,1164,1165,1178,1182,1183,1209,1210,1211,1212,1213,1214,1215,1216,1217,1305,1317,1333,1339,1495,1522,1529"
"news_newsdetail",,"47,49,512"
"news_pi1",,"1,509,927,928,1089"
"powermail_pi1",,"328,924"
